#,Sistema,Pulsioxímetre,Error Absolut,Error Relatiu,Error Percentual
0,86,87,1,0.011494252873563218,1.1494252873563218
1,87,86,1,0.011627906976744186,1.1627906976744187
2,85,86,1,0.011627906976744186,1.1627906976744187
3,84,86,2,0.023255813953488372,2.3255813953488373
4,86,86,0,0.0,0.0
5,93,86,7,0.08139534883720931,8.13953488372093
6,83,87,4,0.04597701149425287,4.597701149425287
7,72,87,15,0.1724137931034483,17.24137931034483
8,73,88,15,0.17045454545454544,17.045454545454543
9,86,87,1,0.011494252873563218,1.1494252873563218
10,80,87,7,0.08045977011494253,8.045977011494253
11,89,87,2,0.022988505747126436,2.2988505747126435
12,86,87,1,0.011494252873563218,1.1494252873563218
13,92,87,5,0.05747126436781609,5.747126436781609
14,87,87,0,0.0,0.0
15,85,87,2,0.022988505747126436,2.2988505747126435
16,90,88,2,0.022727272727272728,2.272727272727273
17,85,89,4,0.0449438202247191,4.49438202247191
18,80,89,9,0.10112359550561797,10.112359550561797
19,88,88,0,0.0,0.0
20,88,87,1,0.011494252873563218,1.1494252873563218
21,86,87,1,0.011494252873563218,1.1494252873563218
22,88,86,2,0.023255813953488372,2.3255813953488373
23,79,86,7,0.08139534883720931,8.13953488372093
24,87,86,1,0.011627906976744186,1.1627906976744187
25,85,87,2,0.022988505747126436,2.2988505747126435
26,84,89,5,0.056179775280898875,5.617977528089887
27,87,89,2,0.02247191011235955,2.247191011235955
28,87,89,2,0.02247191011235955,2.247191011235955
29,90,88,2,0.022727272727272728,2.272727272727273
30,89,87,2,0.022988505747126436,2.2988505747126435
31,85,88,3,0.03409090909090909,3.4090909090909087
32,79,88,9,0.10227272727272728,10.227272727272728
33,89,89,0,0.0,0.0
34,91,88,3,0.03409090909090909,3.4090909090909087
35,93,88,5,0.056818181818181816,5.681818181818182
36,87,85,2,0.023529411764705882,2.3529411764705883
37,79,85,6,0.07058823529411765,7.0588235294117645
38,84,85,1,0.011764705882352941,1.1764705882352942
39,79,84,5,0.05952380952380952,5.952380952380952
40,83,84,1,0.011904761904761904,1.1904761904761905
41,86,84,2,0.023809523809523808,2.380952380952381
42,85,84,1,0.011904761904761904,1.1904761904761905
43,89,85,4,0.047058823529411764,4.705882352941177
44,101,87,14,0.16091954022988506,16.091954022988507
45,91,87,4,0.04597701149425287,4.597701149425287
46,92,87,5,0.05747126436781609,5.747126436781609
47,88,87,1,0.011494252873563218,1.1494252873563218
48,89,86,3,0.03488372093023256,3.488372093023256
49,88,86,2,0.023255813953488372,2.3255813953488373
