#,Sistema,Pulsioxímetre,Error Absolut,Error Relatiu,Error Percentual
0,80,80,0,0.0,0.0
1,78,80,2,0.025,2.5
2,79,81,2,0.024691358024691357,2.4691358024691357
3,82,80,2,0.025,2.5
4,77,80,3,0.0375,3.75
5,71,79,8,0.10126582278481013,10.126582278481013
6,78,77,1,0.012987012987012988,1.2987012987012987
7,71,76,5,0.06578947368421052,6.578947368421052
8,71,78,7,0.08974358974358974,8.974358974358974
9,75,78,3,0.038461538461538464,3.8461538461538463
10,80,78,2,0.02564102564102564,2.564102564102564
11,85,78,7,0.08974358974358974,8.974358974358974
12,79,80,1,0.0125,1.25
13,78,79,1,0.012658227848101266,1.2658227848101267
14,75,78,3,0.038461538461538464,3.8461538461538463
15,79,79,0,0.0,0.0
16,81,81,0,0.0,0.0
17,81,81,0,0.0,0.0
18,79,81,2,0.024691358024691357,2.4691358024691357
19,81,83,2,0.024096385542168676,2.4096385542168677
20,83,78,5,0.0641025641025641,6.41025641025641
21,80,79,1,0.012658227848101266,1.2658227848101267
22,78,81,3,0.037037037037037035,3.7037037037037033
23,80,80,0,0.0,0.0
24,80,79,1,0.012658227848101266,1.2658227848101267
25,79,78,1,0.01282051282051282,1.282051282051282
26,82,80,2,0.025,2.5
27,79,80,1,0.0125,1.25
28,82,80,2,0.025,2.5
29,75,75,0,0.0,0.0
30,72,75,3,0.04,4.0
31,73,78,5,0.0641025641025641,6.41025641025641
32,73,79,6,0.0759493670886076,7.59493670886076
33,78,78,0,0.0,0.0
34,75,75,0,0.0,0.0
35,79,76,3,0.039473684210526314,3.9473684210526314
36,73,76,3,0.039473684210526314,3.9473684210526314
37,75,77,2,0.025974025974025976,2.5974025974025974
38,72,77,5,0.06493506493506493,6.493506493506493
39,73,76,3,0.039473684210526314,3.9473684210526314
40,76,78,2,0.02564102564102564,2.564102564102564
41,79,79,0,0.0,0.0
42,79,79,0,0.0,0.0
43,77,78,1,0.01282051282051282,1.282051282051282
44,78,78,0,0.0,0.0
45,80,79,1,0.012658227848101266,1.2658227848101267
46,78,78,0,0.0,0.0
47,88,76,12,0.15789473684210525,15.789473684210526
48,84,69,15,0.21739130434782608,21.73913043478261
49,69,70,1,0.014285714285714285,1.4285714285714286
