#,Sistema,Pulsioxímetre,Error Absolut,Error Relatiu,Error Percentual
0,78,84,6,0.07142857142857142,7.142857142857142
1,78,83,5,0.060240963855421686,6.024096385542169
2,78,83,5,0.060240963855421686,6.024096385542169
3,82,83,1,0.012048192771084338,1.2048192771084338
4,82,84,2,0.023809523809523808,2.380952380952381
5,84,84,0,0.0,0.0
6,84,83,1,0.012048192771084338,1.2048192771084338
7,80,80,0,0.0,0.0
8,82,84,2,0.023809523809523808,2.380952380952381
9,81,83,2,0.024096385542168676,2.4096385542168677
10,75,84,9,0.10714285714285714,10.714285714285714
11,78,84,6,0.07142857142857142,7.142857142857142
12,74,87,13,0.14942528735632185,14.942528735632186
13,76,85,9,0.10588235294117647,10.588235294117647
14,84,84,0,0.0,0.0
15,84,84,0,0.0,0.0
16,80,83,3,0.03614457831325301,3.614457831325301
17,84,83,1,0.012048192771084338,1.2048192771084338
18,82,84,2,0.023809523809523808,2.380952380952381
19,82,83,1,0.012048192771084338,1.2048192771084338
20,81,84,3,0.03571428571428571,3.571428571428571
21,83,84,1,0.011904761904761904,1.1904761904761905
22,84,86,2,0.023255813953488372,2.3255813953488373
23,82,88,6,0.06818181818181818,6.8181818181818175
24,81,87,6,0.06896551724137931,6.896551724137931
25,86,89,3,0.033707865168539325,3.3707865168539324
26,86,90,4,0.044444444444444446,4.444444444444445
27,85,89,4,0.0449438202247191,4.49438202247191
28,85,87,2,0.022988505747126436,2.2988505747126435
29,82,88,6,0.06818181818181818,6.8181818181818175
30,79,84,5,0.05952380952380952,5.952380952380952
31,81,89,8,0.0898876404494382,8.98876404494382
32,77,87,10,0.11494252873563218,11.494252873563218
33,73,85,12,0.1411764705882353,14.117647058823529
34,88,86,2,0.023255813953488372,2.3255813953488373
35,84,80,4,0.05,5.0
36,78,82,4,0.04878048780487805,4.878048780487805
37,83,86,3,0.03488372093023256,3.488372093023256
38,76,79,3,0.0379746835443038,3.79746835443038
39,74,75,1,0.013333333333333334,1.3333333333333335
40,75,80,5,0.0625,6.25
41,80,80,0,0.0,0.0
42,75,83,8,0.0963855421686747,9.63855421686747
43,75,84,9,0.10714285714285714,10.714285714285714
44,78,88,10,0.11363636363636363,11.363636363636363
45,83,83,0,0.0,0.0
46,80,77,3,0.03896103896103896,3.896103896103896
47,82,83,1,0.012048192771084338,1.2048192771084338
48,81,83,2,0.024096385542168676,2.4096385542168677
49,81,84,3,0.03571428571428571,3.571428571428571
