#,Sistema,Pulsioxímetre,Error Absolut,Error Relatiu,Error Percentual
0,73,72,1,0.013888888888888888,1.3888888888888888
1,74,72,2,0.027777777777777776,2.7777777777777777
2,71,72,1,0.013888888888888888,1.3888888888888888
3,69,73,4,0.0547945205479452,5.47945205479452
4,72,73,1,0.0136986301369863,1.36986301369863
5,74,74,0,0.0,0.0
6,70,73,3,0.0410958904109589,4.10958904109589
7,72,73,1,0.0136986301369863,1.36986301369863
8,83,72,11,0.1527777777777778,15.277777777777779
9,72,72,0,0.0,0.0
10,79,73,6,0.0821917808219178,8.21917808219178
11,77,77,0,0.0,0.0
12,79,80,1,0.0125,1.25
13,68,70,2,0.02857142857142857,2.857142857142857
14,68,68,0,0.0,0.0
15,65,68,3,0.04411764705882353,4.411764705882353
16,70,69,1,0.014492753623188406,1.4492753623188406
17,69,71,2,0.028169014084507043,2.8169014084507045
18,71,72,1,0.013888888888888888,1.3888888888888888
19,68,72,4,0.05555555555555555,5.555555555555555
20,69,73,4,0.0547945205479452,5.47945205479452
21,70,75,5,0.06666666666666667,6.666666666666667
22,72,75,3,0.04,4.0
23,74,74,0,0.0,0.0
24,75,75,0,0.0,0.0
25,75,74,1,0.013513513513513514,1.3513513513513513
26,70,73,3,0.0410958904109589,4.10958904109589
27,73,74,1,0.013513513513513514,1.3513513513513513
28,71,72,1,0.013888888888888888,1.3888888888888888
29,73,73,0,0.0,0.0
30,71,75,4,0.05333333333333334,5.333333333333334
31,74,71,3,0.04225352112676056,4.225352112676056
32,71,71,0,0.0,0.0
33,71,71,0,0.0,0.0
34,72,74,2,0.02702702702702703,2.7027027027027026
35,70,77,7,0.09090909090909091,9.090909090909092
36,72,77,5,0.06493506493506493,6.493506493506493
37,68,70,2,0.02857142857142857,2.857142857142857
38,71,70,1,0.014285714285714285,1.4285714285714286
39,68,70,2,0.02857142857142857,2.857142857142857
40,71,70,1,0.014285714285714285,1.4285714285714286
41,66,70,4,0.05714285714285714,5.714285714285714
42,74,71,3,0.04225352112676056,4.225352112676056
43,72,71,1,0.014084507042253521,1.4084507042253522
44,71,73,2,0.0273972602739726,2.73972602739726
45,69,74,5,0.06756756756756757,6.756756756756757
46,64,72,8,0.1111111111111111,11.11111111111111
47,67,71,4,0.056338028169014086,5.633802816901409
48,65,69,4,0.057971014492753624,5.797101449275362
49,65,68,3,0.04411764705882353,4.411764705882353
