#,Sistema,Pulsioxímetre,Error Absolut,Error Relatiu,Error Percentual
0,114,114,0,0.0,0.0
1,96,106,10,0.09433962264150944,9.433962264150944
2,97,102,5,0.049019607843137254,4.901960784313726
3,96,102,6,0.058823529411764705,5.88235294117647
4,95,103,8,0.07766990291262135,7.766990291262135
5,93,100,7,0.07,7.000000000000001
6,92,94,2,0.02127659574468085,2.127659574468085
7,90,93,3,0.03225806451612903,3.225806451612903
8,86,90,4,0.044444444444444446,4.444444444444445
9,85,92,7,0.07608695652173914,7.608695652173914
10,83,90,7,0.07777777777777778,7.777777777777778
11,80,89,9,0.10112359550561797,10.112359550561797
12,81,88,7,0.07954545454545454,7.954545454545454
13,88,87,1,0.011494252873563218,1.1494252873563218
14,87,87,0,0.0,0.0
15,85,86,1,0.011627906976744186,1.1627906976744187
16,88,93,5,0.053763440860215055,5.376344086021505
17,91,95,4,0.042105263157894736,4.2105263157894735
18,87,87,0,0.0,0.0
19,87,86,1,0.011627906976744186,1.1627906976744187
20,85,86,1,0.011627906976744186,1.1627906976744187
21,84,86,2,0.023255813953488372,2.3255813953488373
22,83,86,3,0.03488372093023256,3.488372093023256
23,80,85,5,0.058823529411764705,5.88235294117647
24,84,87,3,0.034482758620689655,3.4482758620689653
25,80,88,8,0.09090909090909091,9.090909090909092
26,79,85,6,0.07058823529411765,7.0588235294117645
27,84,87,3,0.034482758620689655,3.4482758620689653
28,79,88,9,0.10227272727272728,10.227272727272728
29,79,85,6,0.07058823529411765,7.0588235294117645
30,78,86,8,0.09302325581395349,9.30232558139535
31,75,86,11,0.12790697674418605,12.790697674418606
32,72,80,8,0.1,10.0
33,72,86,14,0.16279069767441862,16.27906976744186
34,74,87,13,0.14942528735632185,14.942528735632186
35,80,86,6,0.06976744186046512,6.976744186046512
36,81,85,4,0.047058823529411764,4.705882352941177
37,79,83,4,0.04819277108433735,4.819277108433735
38,77,86,9,0.10465116279069768,10.465116279069768
39,85,83,2,0.024096385542168676,2.4096385542168677
40,83,84,1,0.011904761904761904,1.1904761904761905
41,82,84,2,0.023809523809523808,2.380952380952381
42,82,85,3,0.03529411764705882,3.5294117647058822
43,79,83,4,0.04819277108433735,4.819277108433735
44,81,82,1,0.012195121951219513,1.2195121951219512
45,83,84,1,0.011904761904761904,1.1904761904761905
46,84,84,0,0.0,0.0
47,85,85,0,0.0,0.0
48,77,86,9,0.10465116279069768,10.465116279069768
49,83,84,1,0.011904761904761904,1.1904761904761905
